"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"e:\project_program\project_blockos\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 4, 23
"e:\project_program\project_blockos\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 6, 30
"e:\project_program\project_blockos\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 6, 59
"e:\project_program\project_blockos\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 145, 0, 0, 14, 159
"e:\project_program\project_blockos\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 7, 54
"e:\project_program\project_blockos\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 4, 23
"e:\project_program\project_blockos\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 115, 0, 0, 13, 128
"e:\project_program\project_blockos\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 3, 34
"e:\project_program\project_blockos\src\constants\api.ts", "TypeScript", 0, 14, 0, 0, 4, 4, 22
"e:\project_program\project_blockos\src\constants\editor.ts", "TypeScript", 0, 17, 0, 0, 4, 4, 25
"e:\project_program\project_blockos\src\constants\index.ts", "TypeScript", 0, 4, 0, 0, 1, 2, 7
"e:\project_program\project_blockos\src\constants\storage.ts", "TypeScript", 0, 19, 0, 0, 4, 4, 27
"e:\project_program\project_blockos\src\constants\ui.ts", "TypeScript", 0, 29, 0, 0, 5, 5, 39
"e:\project_program\project_blockos\src\features\ai\components\AIFloatPanel.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\ai\components\AIFloatPanel\AIFloatPanelContainer.tsx", "TypeScript JSX", 0, 0, 115, 0, 0, 13, 128
"e:\project_program\project_blockos\src\features\ai\components\AIFloatPanel\AIFloatPanelView.tsx", "TypeScript JSX", 0, 0, 157, 0, 0, 7, 164
"e:\project_program\project_blockos\src\features\ai\components\AIFloatPanel\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\ai\components\AIFloatPanel\types.ts", "TypeScript", 0, 21, 0, 0, 0, 3, 24
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1, 2
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel\AIImmersivePanelContainer.tsx", "TypeScript JSX", 0, 0, 149, 0, 0, 11, 160
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel\AIImmersivePanelView.tsx", "TypeScript JSX", 0, 0, 189, 0, 0, 7, 196
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel\SessionListView.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 4, 66
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel\mappers.ts", "TypeScript", 0, 58, 0, 0, 0, 6, 64
"e:\project_program\project_blockos\src\features\ai\components\AIImmersivePanel\types.ts", "TypeScript", 0, 39, 0, 0, 0, 2, 41
"e:\project_program\project_blockos\src\features\ai\components\ChatHeader.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 3, 63
"e:\project_program\project_blockos\src\features\ai\components\ChatInput.tsx", "TypeScript JSX", 0, 0, 117, 0, 0, 12, 129
"e:\project_program\project_blockos\src\features\ai\components\ChatLayout.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 3, 20
"e:\project_program\project_blockos\src\features\ai\components\MessageContent.tsx", "TypeScript JSX", 0, 0, 118, 0, 0, 11, 129
"e:\project_program\project_blockos\src\features\ai\components\types.ts", "TypeScript", 0, 22, 0, 0, 0, 4, 26
"e:\project_program\project_blockos\src\features\ai\hooks\useAIChat.ts", "TypeScript", 0, 92, 0, 0, 0, 13, 105
"e:\project_program\project_blockos\src\features\ai\hooks\useSession.ts", "TypeScript", 0, 86, 0, 0, 3, 14, 103
"e:\project_program\project_blockos\src\features\ai\index.ts", "TypeScript", 0, 11, 0, 0, 3, 3, 17
"e:\project_program\project_blockos\src\features\ai\services\aiService.ts", "TypeScript", 0, 287, 0, 0, 26, 48, 361
"e:\project_program\project_blockos\src\features\ai\services\sessionService.ts", "TypeScript", 0, 47, 0, 0, 3, 7, 57
"e:\project_program\project_blockos\src\features\auth\components\AuthPage.tsx", "TypeScript JSX", 0, 0, 127, 0, 1, 16, 144
"e:\project_program\project_blockos\src\features\auth\hooks\useAuth.ts", "TypeScript", 0, 98, 0, 0, 8, 11, 117
"e:\project_program\project_blockos\src\features\auth\index.ts", "TypeScript", 0, 3, 0, 0, 3, 3, 9
"e:\project_program\project_blockos\src\features\auth\services\authService.ts", "TypeScript", 0, 92, 0, 0, 9, 24, 125
"e:\project_program\project_blockos\src\features\blocks\components\BlockDerivativeSelector\BlockDerivativeSelectorContainer.tsx", "TypeScript JSX", 0, 0, 67, 0, 4, 13, 84
"e:\project_program\project_blockos\src\features\blocks\components\BlockDerivativeSelector\BlockDerivativeSelectorView.tsx", "TypeScript JSX", 0, 0, 91, 0, 0, 5, 96
